
01/04/24 17:08:31

id,amount,base_salary,bonus;

102,50000,500000,50000;
105,0,150000,20000;
110,0,500000,50000;
201,0,500000,100000;
202,100000,1000000,100000;
301,0,500000,500000;
302,100000,50000,50000;
5000,NULL,5000000,40000000;

01/04/24 17:09:37

id,amount,base_salary,bonus;

102,50000,500000,50000;
105,0,150000,20000;
110,0,500000,50000;
201,0,500000,100000;
202,100000,1000000,100000;
301,0,500000,500000;
302,100000,50000,50000;
5000,NULL,5000000,40000000;

01/04/24 17:23:34

id,amount,base_salary,bonus;

102,50000,500000,50000;
105,0,150000,20000;
110,0,500000,50000;
201,0,500000,100000;
202,100000,1000000,100000;
301,0,500000,500000;
302,100000,50000,50000;
5000,NULL,5000000,40000000;
